participant_id	visit	age_at_visit	BFIN1	BFIN2	BFIN3	BFIN4	BFIN5	BFIN6	BFIN7	BFIN8	BFIN9	BFIN10
sub-ON00400	online screening	22	3	4	2	5	3	3	3	5	2	3
sub-ON00753	online screening	71	4	4	1	5	1	4	4	5	2	5
sub-ON00770	online screening	69	4	4	2	4	2	4	5	5	2	2
sub-ON00830	online screening	26	3	4	3	4	2	4	2	5	2	3
sub-ON02811	re-eval online screening	51	4	3	2	2	2	3	1	5	1	3
sub-ON03111	online screening	35	4	2	4	2	2	4	4	5	4	4
sub-ON03332	online screening	59	4	5	1	4	2	5	3	5	3	5
sub-ON04111	online screening	39	4	4	2	3	4	2	4	5	4	1
sub-ON04431	online screening	44	1	5	1	5	1	5	1	5	1	5
sub-ON05510	online screening	28	3	2	1	5	4	5	2	2	1	3
sub-ON06421	online screening	26	3	4	2	3	1	5	3	5	4	5
sub-ON06521	online screening	28	3	2	3	3	4	4	3	4	4	5
sub-ON06524	online screening	27	5	4	1	4	3	2	1	5	1	5
sub-ON06610	online screening	37	5	3	3	1	2	4	4	5	4	4
sub-ON06665	online screening	38	4	3	2	1	1	1	4	4	5	5
sub-ON07312	online screening	47	2	4	1	4	1	5	2	5	3	4
sub-ON07331	online screening	57	5	5	1	4	2	5	1	5	1	4
sub-ON07421	online screening	65	5	4	3	4	1	2	4	4	4	5
sub-ON07423	online screening	61	4	3	1	4	1	4	4	4	3	4
sub-ON07431	online screening	75	3	3	4	2	5	5	3	5	4	5
sub-ON07533	online screening	58	4	5	1	4	2	5	4	5	1	4
sub-ON07610	online screening	72	1	5	1	3	5	5	3	4	3	5
sub-ON07653	online screening	50	1	4	2	4	1	5	3	3	1	5
sub-ON07722	online screening	64	4	5	1	4	4	2	4	5	1	3
sub-ON08322	online screening	22	2	4	1	3	3	5	1	5	4	4
sub-ON08531	online screening	73	1	5	2	4	1	5	1	5	2	5
sub-ON08542	online screening	71	4	5	1	4	1	4	3	5	2	3
sub-ON08543	re-eval online screening	41	1	5	1	5	4	5	2	5	1	4
sub-ON08623	online screening	23	3	4	1	5	5	4	2	5	1	5
sub-ON08635	online screening	29	1	4	2	3	1	5	4	5	2	4
sub-ON08663	online screening	79	2	5	1	4	2	5	2	5	1	5
sub-ON08665	online screening	57	1	4	1	4	1	5	4	5	3	3
sub-ON08710	online screening	46	3	5	1	4	5	5	1	5	1	5
sub-ON08721	online screening	71	2	2	-999	5	1	4	2	5	1	4
sub-ON08745	online screening	59	4	5	1	5	2	4	1	5	3	3
sub-ON08751	online screening	55	2	5	1	4	5	5	2	5	2	1
sub-ON08753	online screening	34	4	5	4	4	5	2	4	4	3	2
sub-ON08760	online screening	48	5	4	1	5	3	3	2	5	2	3
sub-ON08824	online screening	62	4	5	1	5	1	5	3	5	1	4
sub-ON08860	online screening	22	4	4	4	2	3	3	2	4	4	2
sub-ON08864	online screening	25	2	4	2	2	4	5	2	5	4	4
sub-ON09352	online screening	25	4	3	4	5	5	4	2	5	3	3
sub-ON09411	online screening	50	5	4	2	3	2	1	3	4	1	5
sub-ON09424	online screening	77	4	5	4	1	1	4	4	5	4	5
sub-ON09500	online screening	68	3	4	1	5	4	2	3	5	1	4
sub-ON09540	online screening	50	5	5	1	5	2	4	4	5	1	5
sub-ON09553	online screening	47	1	5	1	4	1	5	4	5	3	5
sub-ON09621	online screening	57	4	5	1	5	4	4	1	5	1	4
sub-ON09630	online screening	67	4	5	1	5	1	4	2	5	1	4
sub-ON09634	online screening	50	4	5	3	5	2	2	3	5	4	4
sub-ON09641	online screening	36	5	4	2	4	4	2	4	4	3	4
sub-ON09645	online screening	64	4	5	1	2	1	5	3	5	3	4
sub-ON09650	online screening	61	2	5	1	5	2	5	3	5	1	4
sub-ON09663	online screening	59	3	2	5	1	1	2	4	2	4	5
sub-ON09681	online screening	32	2	4	1	4	1	5	1	5	1	5
sub-ON09705	online screening	34	1	5	4	5	5	5	3	5	-999	4
sub-ON09716	online screening	63	4	2	2	1	4	5	5	5	5	4
sub-ON09732	online screening	40	5	5	4	1	5	1	3	1	5	1
sub-ON09760	online screening	36	5	5	2	5	5	1	4	4	1	5
sub-ON09766	online screening	32	2	4	1	4	2	4	4	5	3	1
sub-ON09814	online screening	55	5	4	5	2	1	1	3	2	5	5
sub-ON09825	online screening	27	1	5	4	5	2	5	4	5	2	5
sub-ON09840	online screening	74	3	5	3	5	5	5	5	5	4	5
sub-ON09877	online screening	46	3	4	2	5	3	5	2	5	2	5
sub-ON09920	online screening	54	5	3	4	2	4	1	3	4	4	3
sub-ON11394	re-eval online screening	45	4	5	2	3	1	4	2	4	4	4
sub-ON11411	re-eval online screening	49	4	4	2	5	3	3	1	5	2	3
sub-ON13986	re-eval online screening	38	4	5	4	4	2	4	1	5	3	3
sub-ON15111	online screening	22	1	1	1	1	5	5	1	5	2	5
sub-ON22110	online screening	63	4	3	1	5	1	4	3	4	1	4
sub-ON25939	re-eval online screening	46	5	5	1	5	4	3	4	4	4	4
sub-ON26105	re-eval online screening	30	2	4	1	4	3	5	2	5	3	4
sub-ON32010	online screening	59	1	5	1	4	1	5	2	5	1	5
sub-ON32101	online screening	66	3	4	2	4	2	4	1	4	1	2
sub-ON32221	online screening	55	4	5	1	5	2	4	2	5	2	4
sub-ON33221	online screening	27	4	3	4	4	2	4	3	5	2	3
sub-ON33322	online screening	53	5	1	5	1	5	1	5	1	5	4
sub-ON39384	re-eval online screening	28	4	5	1	5	3	3	1	4	3	3
sub-ON42412	online screening	32	3	4	2	2	4	4	3	5	4	3
sub-ON42421	online screening	75	4	3	2	4	1	2	1	5	1	3
sub-ON43210	online screening	22	2	5	3	5	1	4	1	5	1	5
sub-ON43230	online screening	25	5	5	4	5	2	5	2	5	2	3
sub-ON44200	online screening	39	4	4	2	3	4	3	4	4	4	2
sub-ON44433	online screening	49	5	5	1	4	3	4	2	4	4	3
sub-ON51111	online screening	27	5	3	1	2	1	4	2	5	4	5
sub-ON52200	online screening	36	2	4	2	2	4	4	4	3	4	4
sub-ON52220	online screening	23	1	5	1	4	4	5	2	5	1	3
sub-ON53021	online screening	37	4	4	1	4	2	4	1	5	4	4
sub-ON53102	online screening	47	4	4	1	4	3	2	4	4	2	4
sub-ON53110	online screening	59	4	3	1	4	4	4	4	5	1	3
sub-ON53131	online screening	73	4	2	1	2	2	4	4	5	1	4
sub-ON53213	online screening	40	5	5	1	5	4	5	1	5	1	3
sub-ON53231	online screening	24	4	4	1	5	2	3	2	5	1	3
sub-ON53302	online screening	73	2	4	2	4	4	4	4	4	4	4
sub-ON53312	online screening	79	1	4	3	5	5	5	3	4	1	4
sub-ON53320	online screening	28	4	1	1	4	3	3	1	4	1	4
sub-ON54020	online screening	22	4	5	1	3	4	5	2	5	3	5
sub-ON54101	online screening	69	5	5	4	5	2	4	2	5	2	4
sub-ON54103	online screening	70	5	4	2	4	4	3	4	4	4	3
sub-ON54131	online screening	72	3	2	2	5	2	3	2	4	1	4
sub-ON54212	online screening	70	1	4	1	5	1	5	1	5	1	3
sub-ON54221	online screening	74	3	5	1	4	1	5	3	5	2	3
sub-ON54222	online screening	23	4	4	1	5	1	5	4	5	2	5
sub-ON54311	online screening	76	5	5	1	5	5	5	1	5	1	4
sub-ON54312	online screening	55	4	5	3	4	4	5	4	5	1	3
sub-ON54330	online screening	36	5	4	2	2	4	2	5	5	5	2
sub-ON54432	online screening	32	2	5	2	4	4	5	3	4	2	4
sub-ON55111	online screening	29	2	2	3	2	4	5	3	5	4	3
sub-ON55320	online screening	65	4	-999	2	-999	1	4	3	4	4	4
sub-ON55323	online screening	23	3	4	3	1	4	4	3	4	5	5
sub-ON55342	online screening	27	2	2	4	3	2	5	3	4	4	5
sub-ON55344	online screening	63	4	5	1	5	1	4	2	5	1	3
sub-ON55413	online screening	40	4	5	2	4	4	3	2	4	3	5
sub-ON55421	online screening	49	4	4	2	5	1	4	2	4	1	5
sub-ON55424	online screening	75	5	5	1	4	5	3	2	5	2	4
sub-ON55442	online screening	71	4	5	4	2	5	4	4	5	4	2
sub-ON55530	online screening	49	2	5	1	2	4	5	4	5	2	5
sub-ON55531	online screening	37	4	5	2	3	5	1	2	5	4	2
sub-ON56044	re-eval online screening	32	1	4	1	5	4	5	3	5	1	5
sub-ON58555	online screening	32	4	5	1	4	2	5	3	5	3	4
sub-ON61110	online screening	59	4	4	3	5	4	4	4	5	3	4
sub-ON62200	online screening	24	4	5	1	4	2	4	1	5	2	2
sub-ON62201	online screening	30	3	5	4	4	1	5	4	5	4	5
sub-ON63121	online screening	66	5	2	1	5	2	5	4	5	4	3
sub-ON63131	online screening	40	1	2	2	1	2	5	4	5	5	2
sub-ON63200	online screening	80	5	4	1	5	1	4	3	5	4	3
sub-ON63221	online screening	47	4	5	2	3	4	4	3	4	5	4
sub-ON63311	online screening	29	5	5	2	4	4	5	1	5	4	4
sub-ON63555	online screening	39	1	5	1	4	4	2	5	5	2	5
sub-ON64110	online screening	58	4	5	4	4	2	4	2	5	5	5
sub-ON64141	online screening	66	3	3	3	4	2	4	4	5	3	3
sub-ON64222	online screening	37	4	5	2	4	3	4	1	4	3	4
sub-ON64332	online screening	74	4	4	1	4	1	5	1	4	4	5
sub-ON64340	online screening	36	4	5	4	2	5	3	2	4	4	5
sub-ON64403	online screening	33	4	5	1	5	2	2	1	5	2	3
sub-ON64410	online screening	32	1	5	1	3	2	5	1	5	3	3
sub-ON64412	online screening	37.5	4	5	1	4	4	4	2	5	1	5
sub-ON64432	online screening	46	1	3	1	1	1	4	4	5	4	5
sub-ON65200	online screening	42	4	4	3	5	1	5	2	5	1	4
sub-ON65202	online screening	59	1	5	1	3	1	4	2	5	4	3
sub-ON65232	online screening	26	1	4	3	5	1	5	2	4	1	4
sub-ON65321	online screening	69	1	4	1	2	1	5	4	5	4	5
sub-ON65330	online screening	36	4	4	4	3	3	2	3	3	5	5
sub-ON65401	online screening	61	4	4	1	4	5	2	3	5	1	2
sub-ON65403	online screening	24	2	5	2	2	2	4	2	5	4	4
sub-ON65412	online screening	22	4	5	2	3	2	3	2	5	4	4
sub-ON65413	online screening	43	3	3	2	3	1	4	2	3	4	5
sub-ON65421	online screening	51	3	5	1	5	2	4	2	5	1	5
