name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
SCLK01	MISC	V	0.0	600.0	Miscellaneous	1200.0	good	n/a
BG1	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BG2	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BG3	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BP1	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BP2	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BP3	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BR1	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BR2	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
BR3	MEGREFMAG	T	0.0	600.0	Magnetometer Reference	1200.0	good	n/a
G11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
G12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
G13	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
G22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
G23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
P11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
P12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
P22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
P23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
Q11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
Q12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
Q13	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
Q22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
Q23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
R11	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
R12	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
R13	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
R22	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
R23	MEGREFGRADAXIAL	T	0.0	600.0	Axial Gradiometer Reference	1200.0	good	n/a
MLC11	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC12	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC13	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC14	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC15	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC16	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC17	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC21	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC22	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC23	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC24	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC25	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC31	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC32	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC41	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC42	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC51	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC52	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC53	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC54	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC55	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC61	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC62	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLC63	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF11	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF12	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF13	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF14	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF21	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF22	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF23	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF24	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF31	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF32	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF33	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF34	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF35	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF41	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF42	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF43	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF44	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF45	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF46	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF51	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF52	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF53	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF54	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF55	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF56	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF61	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF62	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF63	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF64	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF65	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLF67	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO11	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO12	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO13	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO14	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO21	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO22	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO23	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO24	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO31	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO32	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO33	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO34	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
MLO41	MEGGRADAXIAL	T	0.0	600.0	Axial Gradiometer	1200.0	good	n/a
